Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal,
04/30/2024,2401,0,101151.53,16131.4,0,14267.67,12613.7,8.16,7321.07,8588.14,1072.43,0,4761.59,0,2567.01,0,0,0,25435.29,10601.95,9560.78,0,3038.65,360.6,0,0,3374.18,1007.02,0,2960.46,0,38.3,200,0,3916.66,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,0,0,32.53,0,0,0,0,0,0,0,4324.94,0,0,25,0,0,5054.48,0,0,865.75,0,0,39.14,0,0,1224.78,0,7000,1875.15,423.83,29.99,0,739.03,0,0,76.61,145.28,0,563.61,0,35,421.5,0,74.38,0,0,0,0,0,0,429.96,0,0,912.33,0,0,6630,12124.27,1158.94,0,6803.51,0,0,0,20,22.25,0,17.95,0,0,0,66.11,1969.02,0,632.67,3092.59,179.27,0,0,308,0,0,0,14.55,240.9,0,0,0,0,0,0,0,155,848.42,409.08,20.35,621.3,0,0,0,0,0,0,0,0,0,0,0,4911.63,0,10872.54,0,0,418.9,0,331.86,0,0,0,0,0,636,77,35,58,6,171.98,137.76,119544,109382,0.924754804
04/30/2024,2402,0,82696.78,249.75,0,14884.41,8676.86,0,5080.37,6715.22,845.89,0,3477.71,0,2971.42,300,0,0,21674.61,11581.21,0,0,3763.2,1124.81,0,0,2837.74,215.14,0,2277.59,0,0,0,0,3916.67,335,0,423.15,0,0,0,0,0,0,0,0,0,0,3103.3,0,0,0,-436.16,0,0,0,0,0,0,0,3053.59,0,0,0,0,0,3767.95,0,0,716.81,0,0,282.37,0,139.5,1979.47,0,6000,1770.38,206.59,68.42,0,78.2,0,0,0,72.64,0,975.59,0,0,633.83,0,74.38,0,0,0,0,395.02,0,429.97,0,0,1524.82,0,0,4825,14833.6,1068.2,0,2693.61,0,0,0,0,0,0,17.95,0,0,0,70.19,1770.02,0,56.46,1265.64,157.15,0,0,376.25,0,0,0,14.55,49.41,0,0,0,0,0,0,0,155,841.9,205.33,68,481.65,0,0,0,0,0,0,0,0,0,0,0,3663.62,0,10872.54,0,0,0,0,220.56,0,0,0,0,0,472,82,33,58,7,190.93,144.19,104469,90120,0.917629605
04/30/2024,2403,0,94507.97,1803.87,0,15859.35,11441.67,41.34,7565.44,9586.93,600.21,0,1157.41,0,1878.3,0,0,0,24485.99,13775.62,904.25,-290.36,1792.93,2606.08,0,0,4441.43,39.85,0,2595.34,0,0,0,0,4016.67,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,430.29,0,291.76,0,0,0,0,0,0,0,3702.17,0,0,0,0,0,4333.27,0,0,780.14,0,0,249.33,16.15,0,1066.33,0,7000,723.47,454.45,69.44,0,1047.31,0,0,1374.84,72.64,0,840.74,0,152.48,395.51,0,74.38,0,0,0,0,0,0,429.96,0,0,305.33,0,0,7576.66,12119.68,1389.49,0,8324.41,0,0,0,20,0,0,17.95,0,0,0,91.9,2201.39,0,340.83,1998.53,197.34,0,0,438.5,0,0,0,14.55,-77.35,0,0,0,0,0,0,0,155,537.41,261.39,35,743.85,0,0,0,0,0,0,0,0,0,0,0,4298.55,0,10872.54,0,0,0,0,301.37,0,0,0,0,0,689,88,41,64,11,156.82,126.23,134524,108046,0.874701238
04/30/2024,2404,0,77844.43,7012.3,0,19875.77,9957.84,5.03,5729.92,8426.31,93.52,0,1517.65,0,1771.18,1134.71,0,0,23097.61,12404.18,3398.18,-1742.76,2395.38,3144.86,0,0,5124.15,-512.91,0,2286.06,0,0,0,0,4931.34,335,0,70.53,0,0,0,0,0,0,0,0,0,0,3103.3,500,0,0,-0.3,0,0,0,0,0,0,0,4041.44,0,0,0,0,0,3967.02,0,0,747.28,0,0,84.88,0,483.75,2135.74,0,7000,701.41,438.3,48.43,65.85,344.18,0,0,395.95,64.24,0,799.93,0,0,388.44,0,74.38,0,0,0,0,0,0,429.96,0,0,640.57,0,0,5870,18011.5,1234.55,0,4429.54,0,0,0,0,0,0,17.95,0,0,0,77.27,2233.25,0,252.44,1606.01,198.25,0,0,58,0,0,0,14.55,40.05,0,0,0,0,0,0,0,155,628.39,414.58,28,929.1,0,0,0,0,0,0,0,0,0,0,0,3921.49,0,10872.54,0,0,0,0,301.37,0,0,0,0,0,548,117,50,57,8,164.19,136.74,99800,89978,0.865149592
04/30/2024,2405,0,165886.06,6983.56,0,33030.42,18301.1,41.62,8577.08,14203.46,383.78,0,4693.36,0,4925.37,262,0,0,44451.97,26176.94,2270.96,-489.48,6429.76,1745.4,0,69.95,7762.41,362.76,0,4535.48,0,0,0,0,4931.33,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,500,47.02,0,-216.95,0,0,0,0,0,0,0,5951.62,0,0,0,0,0,7710.77,0,0,1194.14,0,0,778.28,7.09,301.25,5080.56,0,12000,1023.73,517.09,34.16,65.7,2803.87,0,0,0,64.24,0,3912.49,0,696.24,684.64,0,74.38,0,0,0,0,0,0,429.96,569.39,0,617.27,0,0,11855,21686.23,5708.21,0,15309.44,0,0,0,205.87,0,0,17.95,0,0,0,163.99,4163.23,0,809.61,1418.93,366.09,0,0,106.75,0,0,0,14.55,42.19,0,0,0,0,0,0,0,155,940.13,1126.85,-48.24,1794.45,0,0,0,0,0,0,0,0,0,0,0,7569.97,0,10872.54,0,0,334.05,0,595.12,0,-20159.09,0,0,0,987,211,92,118,6,182.16,131.62,185525,179796,0.922634875
04/30/2024,2406,0,102041.96,3566.7,0,16906.48,11650.39,7.72,4979.16,9024.14,335.59,0,4418.58,0,2564.39,0,0,0,26674.15,13793.76,1674.22,-550.44,4887.36,2484.97,0,0,6688.48,335.73,0,2773.06,0,0,0,0,3916.66,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,165.92,0,-23.77,0,0,0,0,0,0,0,3868.61,0,0,0,0,0,4664.85,0,0,825.83,0,0,228.85,0,231.75,2994.97,0,9000,1386.06,447.82,53.74,0,145.33,0,0,0,72.64,0,833.12,538.88,0,157.82,0,74.38,0,0,0,0,0,0,429.96,0,0,366.87,0,0,6535,15114.18,2435.96,0,6969.1,0,0,0,0,4.12,0,17.95,0,0,0,57.01,2326.18,0,44.66,2398.82,208.37,0,0,58,0,0,0,14.55,34.7,0,0,0,0,0,0,0,155,949.78,870.83,40,894.9,0,0,0,0,0,0,0,0,0,0,0,4532.3,0,10872.54,0,0,0,0,300.01,0,0,0,0,0,699,95,23,64,9,164.95,134.07,128323,115300,0.885012663
04/30/2024,2407,0,187815.96,2992.11,0,37987.34,21962.54,134.51,9723.75,16399.23,501.42,0,2855.25,0,3816.43,40,0,0,49194.02,28097.81,561.44,0,3610.63,5952.12,0,0,3947.97,496.68,0,5024.02,0,0,0,0,5375.17,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,509.05,0,27.34,0,0,0,0,0,0,0,7767.95,0,0,0,0,0,8525.66,0,0,1295.27,0,0,1591.41,0,302.5,10799.5,0,11100,886.71,791.36,109.02,87.6,273.66,0,0,743.89,128.48,0,1320.09,0,0,1601.16,0,148.76,0,0,0,0,0,0,429.96,2152.5,0,634.54,0,0,13850,24627.89,8466.31,0,18853.21,0,0,0,0,0,0,17.95,0,0,0,100.54,4962.48,0,1026.15,3240.96,441.5,0,0,58,0,0,0,14.55,34.7,0,0,0,0,0,0,0,155,1014.08,714.02,-32.68,1580.4,0,100,0,0,0,0,0,0,0,0,0,8440,0,10872.54,0,0,0,0,707.56,0,0,0,0,0,1205,183,69,130,18,172.79,138.25,229238,208212,0.902041957
04/30/2024,2408,0,149189.1,5903.22,0,15319.4,18317.28,19.13,10564.23,12674.92,1035.92,0,1795.04,0,3678.1,197.46,0,0,36868.02,12013.39,2856.52,0,3841.83,1645.4,0,0,9661.48,304.33,0,4289.17,0,0,0,0,4910.25,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,0,0,57.14,0,0,0,0,0,0,0,6088.06,0,0,0,0,0,6554.89,0,0,1037.39,0,0,1130.77,0,0,3211.42,0,9475,916.46,474.61,91.95,0,106.33,0,0,3540.67,67.06,0,1181.37,0,20,2012.74,0,74.38,0,0,0,0,0,0,429.97,0,0,535.42,0,0,10806.66,24889.76,2573.36,0,11982.11,0,0,0,0,204.77,0,17.95,0,0,0,99.73,3728.14,0,214.87,3742.6,337.19,0,0,83.75,0,0,0,14.55,30.7,0,0,0,0,0,0,0,155,726.12,564.64,-140.4,901.05,0,0,0,0,0,0,0,0,0,0,0,6501.04,0,10872.54,0,0,0,0,445.81,0,0,0,0,0,1009,155,88,61,18,173.49,139.6,187545,175052,0.852255901
04/30/2024,2409,0,92883.39,4717.02,0,12615.67,10042.47,2.33,5868.18,8286.38,579.76,0,871.63,0,2615.44,0,0,0,23283.81,7877.58,2468.98,0,0,1000.68,0,0,4764.88,145.88,0,2471.33,0,0,0,0,4910.25,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,0,0,-122.56,0,0,0,0,0,0,0,4005.1,0,0,0,0,0,4154.47,0,0,771.5,0,0,107.41,0,0,4020.78,0,7000,547.08,423.83,56.5,0,585.46,0,0,0,134.12,0,1039.55,0,0,650.96,0,74.38,0,0,0,0,0,0,429.96,0,0,277,0,0,7291.66,16885.79,1277.05,0,8296.34,0,0,0,0,0,0,17.95,0,0,0,100.56,2525.47,0,511.27,2407.13,226.47,0,0,58,0,0,0,14.55,258.01,0,0,0,0,0,0,0,155,432.71,366.47,65.99,579.1,0,0,0,0,0,0,0,0,0,0,0,4128.32,0,10872.54,0,0,0,0,288.03,0,0,0,0,0,599,119,49,48,3,184.14,145.32,118478,110297,0.842120729
04/30/2024,2410,0,97870.41,9082.35,0,19696.84,11195.8,31.51,4242.26,8378.43,223.75,0,1093.4,0,2392.75,0,0,0,25005.71,14235.53,4443.84,0,1408.44,344.64,0,0,5743.5,227.77,0,2650.54,0,0,0,0,5675,335,0,0,0,0,0,0,0,0,0,0,0,0,3103.3,0,0,0,-5,0,0,0,0,0,0,0,3936.99,0,0,0,0,132,4626.23,0,0,844.09,0,0,0,0,0,2181.16,0,7000,1590.43,712.95,53.02,0,40,0,0,5,63.96,0,946.92,0,0,286.92,0,74.38,0,0,0,0,0,0,429.96,210.94,0,547.72,0,0,7010,13558.4,493.05,0,5501.08,0,0,0,0,0,0,0,0,0,0,78.59,1995.33,0,439.24,2030.71,178.23,0,0,342.8,0,0,0,14.55,49.41,0,0,0,0,0,0,0,155,42.77,826.84,-59.37,115,0,0,0,0,0,0,0,0,0,0,0,4593.42,0,10872.54,0,0,0,0,294.53,0,0,0,0,0,672,97,28,61,15,179.15,144,141149,120386,0.812971691
