Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal
9/30/2022,2401,0,111145.23,16381.48,0,14511.61,10762.86,0,8351.15,7005.27,1434.81,0,1894.56,0,3558.9,0,0,0,27270.29,12613.72,10074.21,0,2551.62,1066.57,0,0,3558.77,-510.51,0,2590.05,0,0,0,0,3993.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,-178.28,0,0,0,0,0,0,0,2650.88,25,0,0,0,0,5251.38,0,0,817.38,0,0,128.72,134.45,495,1361.55,0,7000,3187.73,0,51.15,0,0,0,0,0,0,0,740.54,0,731.04,465.55,0,77.58,0,0,0,0,0,0,378.98,0,0,950.11,0,0,6345,14084.92,1076.14,665.76,5890.97,0,0,0,0,46.71,0,16.67,0,0,0,0,2059.47,0,525.21,2528.69,173.51,0,0,58,0,0,0,18,131.72,0,0,0,0,0,0,0,0,689.34,351.92,137.74,1102.35,0,0,0,0,0,0,0,0,0,0,0,5194.54,0,9930.7,0,0,0,0,311.81,0,0,0,0,0,619,112,34,66,16,183.24,139.17,102707,113427
9/30/2022,2402,0,92246.05,6869.92,0,10083.53,10521.78,0,7228.95,6299.35,1179.06,0,1381.88,0,3998.94,-32.81,0,0,22131.73,6891.84,3147.22,0,4244.95,520.08,0,0,4475.75,252.15,0,2625.83,0,0,0,0,3993.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,-129.38,0,0,0,0,0,0,0,2606.26,0,0,0,0,0,4194.28,0,0,690.84,0,0,109.06,32.2,542.25,1574.98,0,6000,2347.45,0,66.92,0,0,0,0,0,0,0,1830.33,0,0,423.22,0,77.58,0,0,0,0,0,0,378.98,0,0,306.87,0,0,5680,12972.98,1100.89,348.32,5534.97,0,0,0,0,0,0,16.67,0,0,0,60.11,1935.82,0,323.87,1203.52,158.51,0,0,116.5,0,0,0,18,237.86,0,0,0,0,0,0,0,0,750.33,205.33,169.98,760.95,0,0,0,0,0,0,0,0,0,0,0,4152.83,0,9930.7,0,0,0,0,249.52,0,0,0,0,0,542,106,43,32,26,194.56,139.85,96533,105451
9/30/2022,2403,0,116103.79,3676.65,0,15942.87,13934.13,0,9365.58,7806.46,672.3,0,2409.89,0,3329.83,0,0,0,28172.64,15528.5,1778.56,0,8870.09,1562.05,0,0,7346.67,-72.52,0,3117.06,0,92.36,135.1,0,4093.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,43.91,0,0,0,0,0,0,0,2719.54,0.75,0,0,0,0,5197.25,0,0,793.05,0,0,163.56,64.4,639,3481.88,0,7000,1401.28,0,67.09,0,1242.75,0,0,197.45,126.9,0,1287.62,0,0,494.37,0,77.58,0,0,0,0,0,0,378.98,0,0,336.91,0,0,6721.66,15854.32,1591.27,545.2,8691.15,0,0,0,115.74,0,0,16.67,0,0,0,65.18,2436.48,0,592.2,3131.84,206.53,0,0,87.25,0,0,0,18,163.7,0,0,0,0,0,0,0,0,502.42,261.42,167.49,1193.1,0,0,0,0,0,0,0,0,0,0,0,5124.95,0,9930.7,0,0,0,0,272.15,0,0,0,0,0,702,150,44,69,22,180.29,139.69,103642,126561
9/30/2022,2404,0,84915.15,5121.58,0,17804.38,10449.11,0,9038.32,7023.44,761.09,0,3354.38,0,2296.46,0,0,0,22991.07,13120.18,2206.52,-1236.88,4377.18,4478.18,0,0,12604.57,-58.72,0,2303.65,0,70.24,0,0,5490.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,87.67,0,0,0,0,0,0,0,2652.6,0,0,0,0,0,4222.92,0,0,685.61,0,0,198.95,0,140,2310.55,0,7000,1075.33,0,32.46,60.36,0,0,0,0,0,0,1554.59,0,0,291.35,0,77.58,0,0,0,0,0,0,378.98,0,0,875.01,0,0,5680,11775.17,1057.7,227.44,4187.4,0,0,0,0,0,0,16.67,0,0,0,48.75,1738.02,0,458.27,818.28,141.76,0,0,145.75,0,0,0,18,350.57,0,0,0,0,0,0,0,0,628.39,353.83,26.92,694.8,0,0,0,0,0,0,0,0,0,0,0,4122.29,0,9930.7,0,0,0,0,285.42,0,0,0,0,0,614,126,37,57,21,173.53,138.01,98135,106546
9/30/2022,2405,0,104831.33,6497.89,0,16379.98,10789.49,50,8965.78,7213.73,578.84,0,3636.1,0,3267.31,0,0,0,26712,13650.54,3507.86,-588.96,3388.42,643.54,0,0,12480.12,-441.94,0,2547.41,0,0,0,0,5504.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,-428.83,0,0,0,0,0,0,0,2598.74,0,0,0,0,0,4866.31,0,0,762.17,0,0,75.56,144.16,293.75,5723.69,0,7000,1930.01,0,50.1,60.23,507.03,0,0,0,0,0,1819.76,0,207.68,604.2,0,77.58,0,0,0,0,0,0,378.98,0,0,814.5,0,0,6440,17885.43,2462.11,471.44,4730.12,0,0,0,0,0,0,16.67,0,0,0,101.39,2404.8,0,378.99,2037.3,197.79,0,0,136,0,0,0,18,608.39,0,0,0,0,0,0,0,0,709,828.48,-93.88,987.75,0,0,0,0,0,0,0,0,0,0,0,4757.23,0,9930.7,0,0,0,0,317.47,0,0,0,0,0,709,158,47,59,16,195.55,145.33,115767,138648
9/30/2022,2406,0,112083.77,576.25,0,11113.29,12950.71,0,9306.02,7524.6,572.29,0,2208.22,0,3623.88,-96.36,0,0,27306,8937.62,93.88,0,3312.11,260.79,0,0,4845.62,0.41,0,2997.61,0,0,180,0,3993.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,126.74,0,0,0,0,0,0,0,3077.54,0,0,0,0,0,4798.77,0,0,747,0,0,285.02,43.63,738,1498.13,0,9000,2107.79,0,54.1,0,81.47,0,0,199.27,126.9,0,1539.88,663.88,0,341.27,0,77.58,0,0,0,0,0,0,378.98,0,0,454.29,0,0,6155,15135.84,2215.16,472.88,5174.89,0,0,0,0,194.96,0,16.67,0,0,0,60.37,2190.8,0,319.99,2049.87,180.26,0,0,175,0,0,0,18,151.86,0,0,0,0,0,0,0,0,890.39,797.12,-7.06,873.75,0,0,0,0,0,0,0,0,0,0,0,4732.52,0,9930.7,0,0,0,0,280.07,0,0,0,0,0,729,141,37,55,28,170.83,130.67,109762,124532
9/30/2022,2407,0,177366.01,1454.16,0,39388.68,22413.37,0,15179,13551.35,454.86,0,3805,0,5248.38,-51.89,0,0,46278.22,28348.94,355,0,8383.45,5116.4,0,0,4638.52,38.43,0,4995.08,0,0,0,0,5611.66,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,86.59,0,0,0,0,0,0,0,5244.78,1.6,0,0,0,0,8365.82,0,0,1110.91,0,0,17.49,125.6,756.25,10116,0,11100,1718.94,0,177.54,43.8,334.98,0,0,0,0,0,1256.35,0,876.9,829.32,0,155.16,0,0,0,0,55,0,378.98,0,0,460.88,0,0,11855,25362.57,4870.92,926.08,16102.53,0,0,0,0,0,0,16.67,0,0,0,25.17,4429.94,0,1306.89,4188.08,365.52,0,0,87.25,0,0,0,18,223.05,0,0,0,0,0,0,0,0,918.33,714.02,181,1895.25,0,0,0,0,0,0,0,0,0,0,0,8251.67,0,9930.7,0,0,0,0,596.89,0,0,0,0,0,1163,226,72,135,35,188.55,144.65,190062,219287
9/30/2022,2408,0,167047.35,4773.8,0,19602.9,19772.57,0,9978.31,11409.52,581.69,0,4729.04,0,4943.29,-42.68,0,0,43475.35,20376.18,1990.81,0,10888.29,2728.98,0,0,9493.41,-640.41,0,4470.41,0,221.84,735.42,0,4384,0,0,59.68,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,133.32,0,0,0,0,0,0,0,4345.83,0,0,0,0,0,7285.15,0,0,1007.69,0,0,800.01,0,1147.5,3098.13,0,9475,1347.47,0,124.98,0,1128.01,0,0,0,0,0,1511.33,0,398,687.26,0,77.58,0,0,0,0,0,0,378.98,0,0,554.16,0,0,10046.66,23309.25,2542.36,881.2,10173.89,0,0,0,0,307.69,0,16.67,0,0,0,53.62,3481.47,0,157.44,3304.35,290.31,0,0,87.25,0,0,0,18,636.75,0,0,0,0,0,0,0,0,694.3,693.28,162,1137.15,0,0,0,0,0,0,0,0,0,0,0,7143.28,0,9930.7,0,0,0,0,5595.63,0,0,0,0,0,1119,194,73,100,35,175.95,135.13,177230,196886
9/30/2022,2409,0,97717.21,1788.2,0,18245.22,10599.99,0,6401.7,6479.73,607.89,0,1860.18,0,2191.13,0,0,0,25123.45,15661.92,680,-351.8,2496.22,330,0,0,2917.97,24.32,0,2316.35,0,0,0,0,4384,0,0,285.81,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,-59.75,0,0,0,0,0,0,0,2421.39,0,0,0,0,0,4376.74,0,0,723.79,0,0,0,4.6,594,2671.56,0,7000,869.08,0,53.83,0,365.68,0,0,0,0,0,1302.98,0,15.37,428.03,0,77.58,0,0,0,0,165.32,0,378.98,0,0,301.14,0,0,5961.66,12798.01,931.04,422.32,6225.85,0,0,0,0,66.2,0,16.67,0,0,0,48.65,1984.63,0,328.65,1645.77,162.85,0,0,87.25,0,0,0,18,769.12,0,0,0,0,0,0,0,0,429.37,329.15,94.46,863.4,0,0,0,0,0,0,0,0,0,0,0,4320.93,0,9930.7,0,0,0,0,223.53,0,0,0,0,0,549,127,56,70,13,180.74,143.6,98859,99225
9/30/2022,2410,0,94627.28,4482.39,0,16813.79,10498.63,0,4266.11,6400.15,686.41,0,2623.59,0,3034.3,0,0,0,23959.11,13000,1679.32,-1108.05,1637.82,1077.85,0,0,3532.63,414.31,0,2444.72,0,0,0,0,5972.5,0,0,347.43,0,0,0,0,0,0,0,0,0,0,2815.59,0,0,0,-141.95,0,0,0,0,0,0,0,2463.8,0,0,0,0,0,4302.98,0,0,716.75,0,0,359.98,63.4,0,3961.74,0,7000,1492.48,0,52.64,0,-225.31,0,0,0,0,0,768.99,125,0,213.3,0,77.58,0,0,0,0,304.29,0,378.98,0,0,436.51,0,0,5300,13096.33,1716.19,311.44,3886.36,0,0,0,593.6,29.42,0,0,0,0,0,110.14,1824.88,0,262,2132.39,150.31,0,0,117.85,0,0,0,18,356.15,0,0,0,0,0,0,0,0,20.25,836.98,0,154,0,0,0,0,0,0,0,0,0,0,0,4224.27,0,9930.7,0,0,0,0,223.16,0,0,0,0,0,640,126,18,51,38,191.87,144.12,112408,122794
