Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal,
08/31/2024,2401,0,105620.39,11041.45,0,13901.43,13838.47,3.9,8093.58,9208.04,1244.73,0,1657.08,0,2749.63,0,0,0,26355.4,11381.42,6817.79,0,2698.98,866.46,0,0,3872.64,-951.94,0,3234.59,0,0,0,0,4247,335,0,59.68,0,0,0,0,0,0,0,0,0,0,3675.35,0,0,0,45.44,0,0,0,0,0,0,0,3601.85,25,0,0,0,0,5020.76,0,0,1009.97,0,0,0,0,0,1847.3,0,7000,1880.24,445.37,56.52,0,0,0,0,0,0,0,579.93,0,143.39,490.56,0,55.09,0,0,0,0,0,0,467.93,0,0,733.55,0,0,6345,15109.54,2144.96,0,5364.23,0,0,0,15,46.82,0,17.95,0,0,0,55.15,2194.13,0,466.12,2016.56,240.98,0,0,366.5,0,0,0,14.55,0,0,0,0,0,0,0,0,0,848.42,409.08,7,931.95,0,0,0,0,0,0,0,0,0,0,0,4971.05,0,10813.51,0,0,0,0,314,0,0,0,0,0,624,82,26,54,10,167.92,135.2,119576,104779,1.00803014
08/31/2024,2402,0,84456.43,2346.19,0,17628.07,9565.63,5.43,4881.59,7904.5,763.3,0,2939.18,0,3106.5,65.69,0,0,22469.43,12551.87,1055.76,0,3862.81,616.45,0,0,4074.43,86.08,0,2477.03,0,0,0,0,4247,335,0,0,0,0,0,0,0,0,0,0,0,0,4120.86,0,0,0,3.03,0,0,0,0,0,0,0,2752.22,0,0,0,0,0,4007.9,0,0,857.88,0,0,719.96,0,279,2336.43,0,6000,1805.48,241.13,66.92,0,0,0,0,975.21,0,0,967.34,0,0,500.88,0,55.09,0,0,0,0,0,0,467.93,0,0,380.04,0,0,4825,12380.55,1833.05,0,3454.11,0,0,0,0,0,0,17.95,0,0,0,26.23,1705.33,0,67.97,1058.27,187.14,0,0,395.75,75,0,0,14.55,0,0,0,0,0,0,0,0,0,841.9,205.33,11,487.35,0,0,0,0,0,0,0,0,0,0,0,3919.73,0,10813.51,0,0,0,0,222,0,0,0,0,0,519,88,19,47,15,183.67,141.01,104703,95325,0.885984055
08/31/2024,2403,0,96932.07,444,0,16460.68,12851.5,12.42,8268,10820.35,756.34,0,903.89,0,1967.69,0,0,0,25313.2,13751.59,193.72,0,1380.55,1380.37,0,882.55,6649.57,-928.41,0,2886.73,0,0,0,0,4347,335,0,0,0,0,0,0,0,0,0,0,0,0,3854.51,0,0,0,-11.08,0,0,0,0,0,0,0,3107.71,0,0,0,0,0,4482.51,0,0,912.62,0,0,45.84,0,0,2797.29,0,7000,1237.56,513.39,69.78,0,366.49,0,0,431.15,0,0,937.56,0,0,301.62,0,55.09,0,0,0,0,0,0,467.93,1109.23,0,309.33,0,0,4150.05,16573.08,1965.33,0,3613.49,0,0,0,0,0,0,17.95,0,0,0,47.86,1966.78,0,232.68,2102.33,218.83,0,0,145.75,0,0,0,14.55,0,0,0,0,0,0,0,0,0,611.08,261.39,11.55,1151.25,0,0,0,0,0,0,0,0,0,0,0,4455.39,0,10813.51,0,0,74,0,248,0,0,0,0,0,710,137,29,71,19,151.34,132.66,135086,107453,0.902088076
08/31/2024,2404,0,97565.88,8812.87,0,15967.73,11607.7,11.8,9445.38,10198.8,250.75,0,4253.84,0,2602.64,774.1,0,0,26281.99,13806.61,3556.57,0,3954.8,4131.4,0,247.14,7350.79,-28.82,0,2772.42,0,0,0,0,4959.67,335,0,0,0,0,0,0,0,0,0,0,0,0,3515.05,500,0,0,-48.49,0,0,0,0,0,0,0,3783.09,0,0,0,0,0,4821.52,0,0,962.15,0,0,468.18,0,488.75,979.98,0,7000,1126.37,489.2,49.93,65.85,180,0,0,0,0,0,890.56,0,0,240.72,0,55.09,0,0,0,0,0,0,467.93,0,0,704.33,0,0,4661.59,19155.99,1776.1,0,4784.2,0,0,0,0,0,0,17.95,0,0,0,30.69,2282.69,0,28.22,3192.96,252.74,0,0,58,0,0,0,14.55,0,0,0,0,0,0,0,0,0,628.39,414.58,58,971.85,0,0,0,0,0,0,0,0,0,0,0,4693.91,0,10813.51,0,0,0,0,307,0,0,0,0,0,632,117,57,59,7,162.84,131.6,99920,102914,0.948033115
08/31/2024,2405,0,195674.43,7397.1,0,52998.09,22227.24,81.09,10508.04,17743.01,606.95,0,6770.89,0,5843.35,0,0,0,55020.15,34543.47,2796.01,0,8046.83,1311.72,0,361.54,3705.46,-647.69,0,5480.75,0,0,0,0,4959.67,335,0,0,0,0,0,0,0,0,0,0,0,0,3948.91,500,0,0,-398.49,0,0,0,0,0,0,0,5393.4,15,0,0,0,0,9595.51,0,0,1740.42,0,0,959.52,0,627.5,4136.19,0,12000,1519.92,568.72,33.14,65.7,1062.76,0,0,300.96,0,0,3403.46,0,1034.12,341.74,0,55.09,0,0,0,0,0,0,467.93,0,0,617.27,0,0,11285,23004.29,7600.82,0,15090.35,0,0,0,0,0,0,17.95,0,0,0,90.17,4324.78,0,727.9,3317.21,471.75,0,0,97,0,0,0,14.55,0,0,0,0,0,0,0,0,0,940.13,1126.85,-156.18,2220.45,0,0,0,0,0,0,0,0,0,0,0,9392.38,0,10813.51,0,0,202,0,567,0,0,0,0,0,1042,247,77,156,22,179.62,130.79,186623,187160,1.045492787
08/31/2024,2406,0,100079.21,4305.15,0,6685.59,11654.26,10.76,5889.72,9131.93,914.51,0,2232.88,0,2863.23,0,0,0,23996.86,7921.36,2196.68,0,1733.59,583.82,0,0,3167.6,239.2,0,2833.58,0,0,0,0,4247,335,0,59.68,0,0,0,0,0,0,0,0,0,0,4288.35,0,0,0,181.98,0,0,0,0,0,0,0,3368.15,0,0,0,0,0,4313.02,0,0,896.52,0,0,392.27,0,0,1951.04,0,9000,1609.92,500.52,56.57,0,750,0,0,0,0,0,975.94,538.88,0,292.5,0,55.09,0,0,0,0,0,0,467.93,0,0,373.54,0,0,4150.05,19428.16,3163.54,0,4100.47,0,0,0,0,20.17,0,17.95,0,0,0,60.78,2315.83,0,22.46,2405.11,256.61,0,0,116.5,0,0,0,14.55,0,0,0,0,0,0,0,0,0,949.78,870.83,24.78,1062.9,0,0,0,0,0,0,0,0,0,0,0,4246.03,0,10813.51,0,0,0,0,249,0,0,0,0,0,730,157,40,40,15,167.19,132.38,128222,122051,0.819978615
08/31/2024,2407,0,220691.57,11920.44,0,39649.88,26725.1,479.38,10800.76,20411.67,768.97,0,1936.44,0,4000.85,-118.32,0,0,56557.56,30105.63,4968.98,0,2797.39,4383.96,0,2140.1,9538.59,326.3,0,5984.84,0,0,0,0,5401.5,335,0,0,0,0,0,0,0,0,0,0,0,0,4555.81,0,0,0,-140.35,0,0,0,0,0,0,0,6658.42,15,0,0,0,0,10121.55,0,0,1834.65,0,0,748.86,0,568.88,6443.66,0,11205,1490.51,871.39,109.02,43.8,145.2,0,0,0,0,0,1356.57,0,0,811.72,0,110.18,0,0,0,0,0,0,467.93,0,0,581.81,0,0,11570,27145.87,10017.05,0,13300.87,0,0,0,0,0,0,17.95,0,0,0,30.63,4668.22,0,819,5421.89,516.12,0,0,366.5,0,0,0,14.55,0,0,0,0,0,0,0,0,0,1014.08,714.02,-16.93,1917.3,0,0,0,0,0,0,0,0,0,0,0,10063.46,0,10813.51,0,0,0,0,596,0,0,0,0,0,1249,251,59,142,18,171.15,138.72,229851,213768,1.032388243
08/31/2024,2408,0,153962.72,3285.85,0,18210.68,20030.65,27.37,12386.4,14726.24,1321.46,0,1600.37,0,3945.22,0,0,0,38812.99,17622.8,1474.38,0,7143.09,2290.34,0,1035.36,9310.83,207.82,0,4674.99,0,375,0,0,4335.25,335,0,0,0,0,0,0,0,0,0,0,0,0,4086.43,957.5,0,0,4.39,0,0,0,0,0,0,0,4947.02,0,0,0,0,0,6884.91,0,0,1271.26,0,0,132.57,0,1053,5907.64,0,9475,1405.34,489.02,93.2,0,305.78,0,0,2580.02,70.99,0,1181.31,0,639.24,1299.36,0,55.09,0,0,0,0,884.28,0,467.93,0,0,595.1,0,0,7865,22944.18,4017.45,0,8920.09,0,0,0,0,188.56,0,17.95,0,0,0,44.57,3242,0,238.5,3730.22,363.97,0,0,58,0,0,0,14.55,0,0,0,0,0,0,0,0,0,726.12,564.64,28.3,1703.1,0,0,0,0,0,0,0,0,0,0,0,6836.9,0,10813.51,0,0,184.8,0,356,0,0,0,0,0,1055,225,69,98,23,167.76,133.67,188395,176985,0.869919598
08/31/2024,2409,0,95780.84,6184.14,0,19299.31,11212.21,4.1,5946.72,9444.84,847.35,0,785.77,0,2437.26,0,0,0,24932.76,13531.89,3026.81,0,2649.07,0,0,0,5316.12,-94.77,0,2662.62,0,0,0,0,4335.25,335,0,0,0,0,0,0,0,0,0,0,0,0,3970.73,957.5,0,0,-1.88,0,0,0,0,0,0,0,3556.29,0,0,0,0,0,4558.28,0,0,955.85,0,0,129.54,0,459,2552.85,0,7000,1013.05,459.8,56.88,0,455.61,0,0,0,0,0,1039.54,0,0,303.03,0,55.09,0,0,0,0,0,0,467.93,0,0,277,0,0,5585,17032.73,1507.04,0,4957.24,0,0,0,0,29.41,0,17.95,0,0,0,22.36,2173.76,0,325.62,2693.92,241.96,0,0,58,0,0,0,14.55,0,0,0,0,0,0,0,0,0,432.71,366.47,35,783.75,0,0,0,0,0,0,0,0,0,0,0,4534.7,0,10813.51,0,0,0,0,277,0,0,0,0,0,622,127,39,57,12,172.5,139.71,118327,107297,0.892670252
08/31/2024,2410,0,107324.24,1840.45,0,27105.31,12402.57,35.51,4378.96,10085.03,197.97,0,982.19,0,2985.92,40,0,0,28607.18,16607.73,685.78,0,1254.24,1108.8,0,32,2105.88,240,0,3003.28,0,0,0,0,5675,335,0,812.29,0,0,0,0,0,0,0,0,0,0,4475.34,0,0,0,74.06,0,0,0,0,0,0,0,3260.45,15,0,0,0,0,5020.14,0,0,1043.18,0,0,1016.11,73,404,3148.17,0,7000,2078.36,734.98,52.94,0,240,0,0,0,66.08,0,946.91,0,5,325.12,0,55.09,0,0,0,0,0,0,467.93,0,0,548.14,0,0,5775,13422.55,1452.23,0,3315.14,0,0,0,0,0,0,0,0,0,0,39.91,1793.75,0,309.84,2633.04,199.39,0,0,108.1,0,0,0,14.55,0,0,0,0,0,0,0,0,0,42.77,826.84,0,158,0,0,0,0,0,0,0,0,0,0,0,4990.68,0,10813.51,0,0,0,0,245.92,0,0,0,0,0,675,133,44,76,29,182.03,143.54,142032,122872,0.873463767
