Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal
01/31/2023,2401,0,106855.59,7370.46,0,9612.37,13183.05,15.39,10035.75,9106.15,1124.79,0,1140.29,0,2400.72,0,0,0,25525.49,9533.08,4133.41,0,2859.56,1101.87,0,0,5069.47,43.16,0,3037.65,0,0,0,0,3922.22,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,4.79,0,0,0,0,0,0,0,4193.05,25,0,0,0,0,4825.34,0,0,831.68,0,0,847.53,0,308.25,1676.1,0,7000,2356.23,423.83,53.71,0,247.79,0,0,0,67.89,0,579.96,0,35,444.86,0,74.38,24,0,0,0,0,0,464.76,0,0,685.17,0,0,6630,15200.66,487.36,456.88,5452.82,0,0,0,0,79.14,0,17.95,0,0,0,187.39,2084.81,0,531.15,2538.45,189.41,0,0,87.25,0,0,0,18,0,0,0,0,0,0,0,0,0,751.87,387.13,79.98,741,0,200,0,0,0,0,0,0,0,0,0,4791.13,0,12567.41,0,0,0,0,332.19,0,0,0,0,0,674,92,16,50,22,171.56,137.49,116554,119384
01/31/2023,2402,0,91035.86,922.28,0,13222.85,9594.94,80.84,5652.86,7150.48,812.27,0,1826.66,0,2852.92,-16.3,0,0,23035.57,9963.79,392.18,0,3186.45,557.37,0,0,10275.3,376.61,0,2432,0,0,0,0,3922.22,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,-377.41,0,0,0,0,0,0,0,2684.87,0,0,0,0,0,3994.56,0,0,749.27,0,0,43.21,0,411.75,2668.15,0,6000,1934.96,206.59,71.33,0,96.68,0,0,0,67.89,0,1087.51,0,0,270,0,74.38,24,0,0,0,0,0,464.76,0,0,950.93,0,0,5110,12405.39,1417.43,248,4227.44,0,0,0,0,0,0,17.95,0,0,0,188.18,1775.34,0,80.38,815.42,157.07,0,0,675,75,0,0,18,0,0,0,0,0,0,0,0,0,808.3,205.33,30.98,521.55,0,0,0,0,0,0,0,0,0,0,0,3939.76,0,12567.41,0,0,-100,0,231.65,0,0,0,0,0,514,64,39,38,18,194.17,146.13,100895,104572
01/31/2023,2403,0,108736.19,1121.93,0,18892.57,13232.86,42.96,9921.15,10837.15,522.12,0,1111.46,0,2074.22,0,0,0,28021.19,18392.15,491.45,-683.4,3763.94,9253.48,0,0,12053.3,137.08,0,2982.01,0,134.39,0,0,4022.23,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,23.53,0,0,0,0,0,0,0,4129.34,8,0,0,0,0,4994.78,0,0,853.37,0,0,0,0,702,994.45,0,7000,1125.27,454.45,71.07,0,0,0,0,764.5,67.89,0,785,0,0,292.58,0,74.38,24,0,0,0,794.98,0,464.76,0,0,341.5,0,0,7956.66,13962.35,740.32,468,6357.23,0,0,0,0,15.44,0,17.95,0,0,0,197.43,2207.77,0,371.02,1611.6,197.84,0,0,106.75,0,0,0,18,0,0,0,0,0,0,0,0,0,537.41,261.39,38,960.45,0,0,0,0,0,0,0,0,0,0,0,4961.43,0,12567.41,0,0,0,0,323.07,0,0,0,0,0,781,101,26,88,27,163.19,138.53,125207,134264
01/31/2023,2404,0,80056.26,4302.26,0,24305.58,10426.58,16.19,8535.79,8630.57,277.18,0,1674.27,0,1727.37,298.6,0,0,23659.84,14029.82,1712.32,0,5413.09,4514.33,0,0,4759.48,111.08,0,2368.23,0,87.75,0,0,4936.89,335,0,59.68,0,0,0,0,0,0,0,0,0,0,3150.75,500,0,0,34.87,0,0,0,0,0,0,0,3393.61,0,0,0,0,0,4198.56,0,0,764.65,0,0,0,0,246.25,2566.18,0,7000,1419.92,438.3,51.02,65.85,0,0,0,0,64.24,0,799.95,0,0,193.76,0,74.38,0,0,0,0,0,0,464.76,0,0,714.23,0,0,5870,15217.85,849.09,460,5146.85,0,0,0,0,0,0,17.95,0,0,0,202.45,2079.65,0,335.16,1595.5,184.82,0,0,180,0,0,0,18,0,0,0,0,0,0,0,0,0,628.39,383.17,36,769.5,0,0,0,0,0,0,0,0,0,0,0,4148.33,0,12567.41,0,0,0,0,296.35,0,0,0,0,0,573,87,38,69,10,166.13,139.58,178073,100093
01/31/2023,2405,0,162645.99,13882.41,0,26145.87,18640.42,44.13,10137.44,13843.21,677.55,0,2385.57,0,4329.88,-264,0,0,41942.53,27983.6,5425.8,-1430.28,3342.4,501.25,0,0,10865.02,227.44,0,4482.22,0,0,0,0,4936.89,335,0,478.86,0,0,0,0,0,0,0,0,0,0,3150.75,500,0,0,-35.57,0,0,0,0,0,0,0,5857.28,15,0,0,0,0,7581.97,0,0,1179.89,0,0,334.69,0,810,3536.68,0,12000,1559.31,517.09,29.99,0,309.74,0,0,0,64.24,0,1398.3,0,12,429.82,0,74.38,0,0,0,0,0,0,464.76,0,0,616.02,0,0,11380,18414.54,2249.46,728,14834.79,0,0,0,0,0,0,17.95,0,0,0,267.47,3620.04,0,865.57,1808.9,319.44,0,0,214,0,0,0,18,0,0,0,0,0,0,0,0,0,687.28,829.08,67,1667.25,0,74,0,0,0,0,0,0,0,0,0,7510.41,0,12567.41,0,0,523.22,0,564.99,0,0,0,0,0,1043,198,49,105,13,178.08,133.91,136467,185719
01/31/2023,2406,0,106728.35,8439.06,0,16919.45,12516.8,19.22,7305.75,9554.6,555.87,0,82.6,0,2413.35,0,0,0,27790.58,14403.96,4144.76,0,3033.86,230.04,0,0,14405.74,430.49,0,2910.93,0,0,0,0,3922.22,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,-27.07,0,0,0,0,0,0,0,3887.04,0,0,0,0,0,4936.05,0,0,868.11,0,0,134.11,0,348.75,2002.71,0,9000,1722.77,447.82,55.16,0,0,0,0,0,67.89,0,833.12,538.88,146.52,211.14,0,74.38,24,0,0,0,0,0,464.77,0,0,365.65,0,0,6440,16198.97,2348.58,492.88,4492.65,0,0,0,0,16.28,0,17.95,0,0,0,221.29,2251.68,0,47.06,2207.99,201.12,0,0,145.75,0,0,0,18,0,0,0,0,0,0,0,0,0,873.22,870.63,30.98,977.55,0,0,0,0,0,0,0,0,0,0,0,4933.57,0,12567.41,0,0,0,0,296.65,0,0,0,0,0,762,100,41,73,27,161.82,134.32,127627,129526
01/31/2023,2407,0,205568.04,9387.02,0,40061.47,22660.23,202.86,13936.15,17894.84,545.58,0,1876.46,0,3649.83,0,0,0,54321.26,26386.98,3630.43,0,2773.37,4268.16,0,0,4371.65,1168.78,0,5126.05,0,0,0,0,5380.72,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,80.37,0,0,0,0,0,0,0,7618.41,0,0,0,0,0,9473.47,0,0,1411.09,0,0,1226.27,0,643.75,10521.89,0,11100,1538.3,791.36,105.95,0,1467.66,0,0,0,64.24,0,1320.09,0,248.28,814.44,0,148.76,24,0,0,0,0,0,464.76,0,0,580.56,0,0,13090,30900.65,5690.5,1213.44,13729.54,0,0,0,0,0,0,17.95,0,0,0,399.8,4862.79,0,957.16,3201.07,433.63,0,0,58,0,0,0,18,0,0,0,0,0,0,0,0,0,875.06,714.02,49,1596,0,0,0,0,0,0,0,0,0,0,0,9417.18,0,12567.41,0,0,0,0,662.53,0,0,0,0,0,1312,223,79,148,28,167.44,136.28,238204,229801
01/31/2023,2408,0,149180.59,2165.3,0,24031.63,19333.14,13.92,11007.74,13106.4,1502.33,0,1616.58,0,3386.4,-126,0,0,38995.64,21806.01,924.14,0,1544.2,3339.48,0,0,11759.07,148.39,0,4427.91,0,0,0,0,5108,335,0,41.23,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,-951.81,0,0,0,0,0,0,0,6011.17,0,0,0,0,0,6760.32,0,0,1059.32,0,0,410.21,0,0,6235.29,0,9475,1650.83,474.61,93.19,0,668.9,0,0,0,67.06,0,1118.67,0,132.9,1712.34,0,74.38,24,0,0,0,0,0,464.76,216.44,0,523.75,0,0,10711.66,27752.46,1756.96,1192,11893.85,0,0,0,100,197.25,0,17.95,0,0,0,359.94,3959.28,0,242.76,3657.51,357.69,0,0,89.25,0,0,0,18,0,0,0,0,0,0,0,0,0,646.53,564.64,31,1276.8,0,3466.56,0,0,0,0,0,0,0,0,0,6711.82,0,12567.41,0,0,0,0,437.99,0,0,0,0,0,1078,166,52,94,20,170.04,137.3,190954,187452
01/31/2023,2409,0,88322.03,8710.62,0,15564.82,9800.77,17.86,7363.13,9083.94,626,0,300.6,0,2140.89,0,0,0,23231.76,12029.02,4657.65,-272.04,1901.56,1322.32,0,0,10686.65,-204,0,2329.53,0,0,0,0,5108,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,32.3,0,0,0,0,0,0,0,3484.49,0,0,0,0,0,4257.92,0,0,782.02,0,0,0,0,0,2544.33,0,7000,846.41,423.83,55.1,0,244.41,0,0,0,67.06,0,1039.58,0,0,163.1,0,74.38,24,0,0,0,0,0,464.76,0,0,265.38,0,0,6911.66,11682.55,903.1,352,4100.31,0,0,0,0,0,0,17.95,0,0,0,171.35,1798.35,0,411.92,1665.02,160.7,0,0,308,0,0,0,18,0,0,0,0,0,0,0,0,0,424.11,359.06,31,530.1,0,749.03,0,0,0,0,0,0,0,0,0,4248.9,0,12567.41,0,0,0,0,271.33,0,0,0,0,0,635,102,51,52,10,174.09,145.46,108331,117255
01/31/2023,2410,0,104771.9,9732.24,0,22520.95,12206.62,19.53,5127.42,9201.73,189.02,0,821.65,0,2599.79,0,0,0,27298.05,20723.57,4733.83,0,636.1,922.7,0,0,8729.01,35,0,2888.04,0,0,0,0,5675,335,0,0,0,0,0,0,0,0,0,0,0,0,3150.75,0,0,0,44.41,0,0,0,0,0,0,0,3784.63,15,0,0,0,0,5015.73,0,0,889.92,0,0,0,34,0,2105.04,0,7000,1828.26,712.95,54.8,0,920.38,0,0,0,127.92,0,979.62,0,5,412.18,0,74.38,24,0,0,0,0,0,464.76,0,0,528.72,0,0,6725,15028.96,313.14,443.44,4634.81,0,0,0,0,0,0,0,0,0,0,444.76,2043.84,0,399.5,1588.86,182.15,0,0,133.15,0,0,0,18,0,0,0,0,0,0,0,0,0,42.77,826.84,0,122.5,0,565.25,0,0,0,0,0,0,0,0,0,4991.08,0,12567.41,0,0,0,0,280.36,0,0,0,0,0,731,81,32,75,21,181.78,144.59,138936,140431
