Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal,
07/31/2023,2401,0,112172.35,16987.39,0,18594.44,12938.15,2.83,5963.29,7671.58,1364.92,0,1107.32,0,2707.29,0,0,0,28664.52,14740.22,11101.04,0,3686.66,393,0,0,3601.64,516.57,0,3051.46,0,0,70,0,3916.66,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,578.16,0,140.74,0,0,0,0,0,0,0,3680.08,25,0,0,0,0,5385.29,0,0,1017.3,0,0,224.48,0,837,3164.53,0,7000,3274.75,507.48,54.46,0,0,0,0,0,67.89,0,579.95,0,30,487.45,0,71.18,0,0,0,0,0,0,454.37,0,0,602.04,0,0,7105,14430.26,1023.01,794.32,7042.09,0,0,0,20,78.73,0,17.95,0,0,0,0,2242.19,0,489.18,2958.66,219.64,0,0,58,0,0,0,18,0,0,0,0,0,0,0,0,0,751.87,387.13,-26.71,983.25,0,0,0,0,0,0,0,0,0,0,0,5352.07,0,10695.08,0,0,0,0,357.97,0,0,0,0,0,650,105,26,61,4,183.84,146.44,115914,119495,0.93872003
07/31/2023,2402,0,85422.97,8914.19,0,17550.98,8582.33,2.32,5575.78,5587.79,674.03,0,3624.29,0,3211.55,0,0,0,22538.05,12363.45,4898.07,-78.28,6820.89,1914.58,0,0,4377.54,285.09,0,2307.28,0,0,54.26,0,3916.65,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,573.54,0,102.58,0,0,0,0,0,0,0,2473.53,0,0,0,0,0,4174.39,0,0,837.59,0,0,779.95,0,459,1443.82,0,6000,2427.02,278.51,69.47,0,1489.25,0,0,0,67.89,0,1263.23,0,0,260.5,0,71.18,0,0,0,0,0,0,454.37,0,0,901.25,0,0,5395,9894.65,1188.42,228,5313.06,0,0,0,20,14.34,0,17.95,0,0,0,60.43,1655.25,0,107.01,2297.68,158.81,0,0,116.5,0,0,0,18,224.58,0,0,0,0,0,0,0,0,808.3,205.33,28.98,763.8,0,0,0,0,0,0,0,0,0,0,0,4065.66,0,10695.08,0,0,0,0,243.93,0,0,0,0,0,459,93,27,62,16,201.42,146.75,101086,92451,0.923981028
07/31/2023,2403,0,114358.09,2758.23,0,14234.15,13040.57,114.93,8703.02,8596.09,442.93,0,843.13,0,2756.73,-1480.94,0,0,28124.58,12453.23,1220.76,-738.2,3726.2,1101.93,0,0,7225.29,153.96,0,3081.22,0,0,0,0,4016.67,335,0,297.98,0,0,0,0,0,0,0,0,0,0,2996.99,0,574.21,0,6.04,0,0,0,0,0,0,0,3483.19,0.9,0,0,0,0,4975.44,0,0,941.95,0,0,363.42,0,535.5,2363.39,0,7000,1239.81,526.42,69.89,0,0,0,0,92.83,67.89,0,782.66,0,34.04,1267.5,0,71.18,0,0,0,0,0,0,454.36,0,0,316.52,60,0,8051.66,17141.11,1367.85,596,7653.2,0,0,0,0,146.88,0,17.95,0,0,0,34.34,2590.46,0,527.08,1833.01,249.35,0,0,58,0,0,0,18,46.97,0,0,0,0,0,0,0,0,537.41,261.39,30,974.7,0,0,0,0,0,0,0,0,0,0,0,4950.14,0,10695.08,0,0,0,0,324.7,0,0,0,0,0,734,141,41,63,25,172.16,142.62,124778,126362,0.905003799
07/31/2023,2404,0,94292.31,4134.65,0,16664.35,10461.34,9.36,8712.51,7237.62,342.28,0,3217.8,0,1762.62,0,0,0,24849.47,13166,1725.3,0,3683.33,3672.19,0,0,4841.91,-412.45,0,2382.02,0,69.09,0,0,5597.99,335,0,59.68,0,0,0,0,0,0,0,0,0,0,2996.99,0,276.57,0,36.72,0,0,0,0,0,0,0,2770.05,0,0,0,0,0,4405.05,0,0,853.6,0,0,1192.12,0,375,2075.98,0,7000,1122.1,509.27,51.35,60.36,365,0,0,1099.98,64.24,0,776.39,0,0,513.52,0,71.18,0,0,0,0,0,0,454.37,0,0,915.6,0,0,5680,16507.45,851.45,580,5244.65,0,0,0,75,0,0,17.95,0,0,0,31.7,2180.38,0,316.12,2080,208.51,0,0,194,0,0,0,18,18.51,0,0,0,0,0,0,0,0,628.39,383.17,100,1137.15,0,0,0,0,0,0,0,0,0,0,0,4308.51,0,10695.08,0,0,0,0,286.89,0,0,0,0,0,594,112,44,57,9,171.66,144.63,110994,101964,0.924760798
07/31/2023,2405,0,154779.59,19849.6,0,29197.74,16511.63,26.64,10370.67,11037.29,604.15,0,6085.61,0,4194.54,0,0,0,40789.34,16115.38,11247.73,0,6777.18,3691.23,0,0,4346.45,-73.82,0,4042.17,0,0,0,0,5597.99,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,275.94,0,339.68,0,0,0,0,0,0,0,3759.75,0,0,0,0,0,7579.72,0,0,1285.07,0,0,549.8,0,393.75,2997.91,0,12000,1732.77,163.5,62.45,60.23,1167.71,0,0,0,64.24,0,3297.66,0,0,720.29,0,71.18,0,0,0,0,0,0,454.36,0,0,918.27,0,0,7865,17116.34,5309.88,600,11255.05,0,0,0,201.9,0.6,0,17.95,0,0,0,48.59,3194.77,0,560.01,2002.85,303.22,0,0,58,0,0,0,18,0,0,0,0,0,0,0,0,0,687.28,829.08,-37.86,2016,0,0,0,0,0,0,0,0,0,0,0,7397.16,0,10695.08,0,0,366.25,0,445.91,0,0,0,0,0,862,202,77,64,6,198.23,150.42,137024,170877,0.905795338
07/31/2023,2406,0,114755.76,1596.9,0,11308.23,12974.81,5.66,6723.43,8468.94,567.36,0,5333.89,0,3088.39,0,0,0,28061.13,7341.44,472.3,0,5608.58,1367.18,0,0,9897.99,104.95,0,3134.79,0,0,140,0,3916.66,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,573.54,0,102.45,0,0,0,0,0,0,0,3707.58,0,0,0,0,0,4944.7,0,0,921.6,0,0,401.69,0,387,2862.17,0,9000,2322.41,470.35,52.31,0,525,0,0,0,67.89,0,929.41,663.88,0,400.96,0,71.18,0,0,0,0,0,0,454.37,0,0,480.15,0,0,6725,15249.84,2308.89,716.88,6063.22,0,0,0,0,0,0,17.95,0,0,0,0,2319.08,0,59,2792.44,224.75,0,0,58,0,0,0,18,0,0,0,0,0,0,0,0,0,873.22,870.63,-103.75,959.85,0,0,0,0,0,0,0,0,0,0,0,4784.68,0,10695.08,0,0,0,0,304.95,0,0,0,0,0,786,137,36,49,21,18.9,134.91,129389,132752,0.864437146
07/31/2023,2407,0,213210.82,6916.23,0,40374.84,21783.09,302.84,10395.68,15399.66,531.81,0,2631.04,0,4180.49,-302.11,0,0,54483.38,25733.32,2402.42,0,2890.03,5156.78,0,0,13463.86,373.98,0,5062.02,0,0,0,0,5323.18,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,413.91,0,252.81,0,0,0,0,0,0,0,6436.37,0,0,0,0,0,9471.8,0,0,1579.74,0,0,1249.98,189,458.75,5147.35,0,11100,1555.97,949.51,106.92,0,53.66,0,0,293.46,64.24,0,1304,0,730.92,1157.45,0,142.36,23.89,0,0,0,0,0,454.36,0,0,466.95,0,0,12330,25759.26,8670.65,1305.44,15124.41,0,0,0,817.85,0,0,17.95,0,0,0,0,4741.16,0,933.83,3994.95,456.21,0,0,104.75,0,0,0,18,0,0,0,0,0,0,0,0,0,875.06,714.02,-45.77,2291.4,0,0,0,0,0,0,0,0,0,0,0,9392.86,0,10695.08,0,0,0,0,626.86,0,0,0,0,0,1301,251,53,106,19,181.83,147.12,237580,236567,0.901270338
07/31/2023,2408,0,157096.29,2601.75,0,17490.49,19632.22,22.74,10890.42,10180.08,928.53,0,4589.08,0,3271.51,-278.99,0,0,39438.11,14881.52,1076.48,0,5598.03,4166.13,0,-219.66,10990.51,206.66,0,4462.95,0,600,0,0,4584,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,410.13,0,-83.43,0,0,0,0,0,0,0,4915.63,0,0,0,0,0,6801.09,0,0,1169.95,0,0,568.56,0,1417.5,6708.83,0,9475,1377,391.49,93.66,0,106.33,0,0,0,67.06,0,1094.85,0,125.87,486.39,0,71.18,0,0,0,0,0,0,454.37,0,0,498.24,90,0,10331.66,20565.46,3817.9,968,10010.97,0,0,0,0,225.96,0,17.95,0,0,0,0,3382.27,0,97.21,5294.7,331.01,0,0,58,0,0,0,18,78.49,0,0,0,0,0,0,0,0,646.53,564.64,-106.04,1400.7,0,0,0,0,0,0,0,0,0,0,0,6663.42,0,10695.08,0,0,0,0,418.97,0,0,0,0,0,1118,181,62,72,26,172.12,141.18,190448,192427,0.816394217
07/31/2023,2409,0,101590.77,5281.87,0,12130.42,9850.73,20.32,6325.04,7610.06,858.97,0,1985.03,0,2796.6,0,0,0,24734.6,9233.92,2391.47,-1562.4,112.01,0,0,0,6035.56,45.36,0,2470.36,0,60,0,0,4584,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,273.74,0,3.93,0,0,0,0,0,0,0,3291.83,0,0,0,0,0,4453.49,0,0,881.27,0,0,221.57,0,535.5,1404.32,0,7000,820.6,494.94,54.53,0,95,0,0,0,67.06,0,1039.52,0,0,709.97,0,71.18,0,0,0,0,0,0,454.36,0,0,304.56,0,0,7291.66,10055.2,1936.56,560,6745.23,0,0,0,70,44.25,0,17.95,0,0,0,8.41,1991.17,0,467.58,1307.61,192.91,0,0,308,0,0,0,18,0,0,0,0,0,0,0,0,0,424.11,359.06,18,760.95,0,0,0,0,0,0,0,0,0,0,0,4393.94,0,10695.08,0,0,0,0,291.99,0,0,0,0,0,626,142,58,43,16,195.12,156.19,108385,122143,0.831736325
07/31/2023,2410,0,99593.24,5580.16,0,22653.62,11609.23,14.46,4572.81,7308.16,347.22,0,1870.86,0,2814.36,0,0,0,26399.92,14304.53,2907.97,0,4416.96,9075.11,0,0,15154.11,328.69,0,2815.06,0,0,0,0,5675,335,0,0,0,0,0,0,0,0,0,0,0,0,2996.99,0,268.01,0,-41.3,0,0,0,0,0,0,0,3646.01,0,0,0,0,0,4690.92,0,0,924.89,0,0,0,0,0,4190.09,0,7000,1692.19,1012.88,50.47,0,1866.67,0,0,176.95,63.96,0,911.85,0,3,575.02,0,71.18,0,0,0,0,0,0,454.37,0,0,451.04,0,0,6725,15716.23,1094.58,555.44,6533.63,0,0,0,180,0,0,0,0,0,0,95.13,2308.64,0,442.34,2229.43,221.32,0,0,333.05,0,0,0,18,12.06,0,0,0,0,0,0,0,0,30.67,837.03,0,172,0,0,0,0,0,0,0,0,0,0,0,4634.8,0,10695.08,0,0,0,0,282.43,0,0,0,0,0,757,133,40,58,27,191.86,149.11,138340,145237,0.685729119
