Date,Location,2535 · Sales Tax Coll,4000-00 · Rental Income,4100-00 · Cash Sales,4102-00 · Cash Sales - Non-inventory,4105-00 · Early Purchase Option,4200-00 · Roll Pro,4205-00 · Collection Fee - In-House,4210-00 · Reinstatement Fees,4214-00 · Other Fees - Alignments,4215-00 · One Time Fees,4225-00 · NSF Check Fees,4230-00 · Other Miscellaneous Income,4235-00 · Sales Tax Collected,4240-00 · Roll Safe,4250-00 · Chargebacks,4245-00 · Management Fee,4300-00 · Sub-franchisee Royalty Income,5000-00 · Depreciation - Inventory,5101-00 · Paid Out & EPO Charge Offs,5102-00 · Cash Sale Charge Offs,5103-00 · Skip/Stolen Charge Offs,5104-01 · Insurance Charge Offs,5104-02 · Returned Damaged/Non-Repairable,5104-00 · Non-Repairable Charge Offs - Other,5105-00 · Other Charge off,5105-01 · Past Due Account Charge Off,5106-00 · Inventory Cost Adjustment,5100-00 · Charge Off Expense - Other,5400-00 · Club Remittance,5500-00 · Rent Refunds,6070-00 · Parts - Inventory Repair,6071-00 · Labor - Inventory Repair,6069-00 · Inventory Repairs - Other,6500-00 · Radio - Admin,6505-00 · Television Advertising,6508-00 · Radio & TV Production,6510-00 · Print Media,6511-00 · Print Production,6512-00 · Postage - Advertising,6513-00 · Freight - Advertising,6514-00 · Newspaper/Magazine Advertising,6520-00 · Other Print,6525-00 · Telephone Directories,6535-00 · Marquee/Billboards,6540-00 · Customer Referrals,6541-00 · Website Development,6550-00 · Sponsorships,6551-00 · Internet/Online,6490-00 · Advertising and Promotion - Other,6530-00 · Special Events,6545-00 · Website,6018-00 · Cash Short (Long),6031-00 · VIN Search Fees,6515-00 · Internal Postage,6560-00 · Administrative & Collections,6555-00 · Other Selling Expenses - Other,6001-00 · Selling Expense - Other,6020-00 · Bad Checks,6021-00 · NSF Check Fees,6023-00 · Bank Card Fees,6025-00 · Bank Service Charges,6026-00 · Late Fees,6019-00 · Bank Charges - Other,6002-00 · General & Admin Expense - Other,6034-00 · Legal Fees,6035-00 · Accounting Fees,6036-00 · Consulting Fees,6029-00 · Professional Fees - Other,6040-00 · Property & General Liability,6045-00 · Officer's Life,6039-00 · Insurance Expense - Admin - Other,6000-00 · Office Supplies,6010-00 · Postage,6015-00 · Freight,6065-00 · General Supplies,"6059-00 · Postage, Freight & Supplies - Other",6300-00 · Rent Expense,6305-00 · Utilities,6310-00 · Property Insurance,6315-00 · Security,6320-00 · Pest Control,6325-00 · Repair & Maintenance Building,6326-00 · Relocation Expenses,6068-00 · Occupancy Expense - Other,6330-00 · Repairs & Maintenance - Equip,6335-00 · Equipment Rental,6079-00 · Equipment Expense - Other,"6100-00 · Depreciation Expense - F,F&E",6105-00 · Amortization Expense,6400-00 · Repair & Maintenance - Vehicles,6405-00 · Fuel & Oil - Vehicle,6410-00 · Lease - Vehicle,6420-00 · Vehicle Insurance,6430-00 · Vehicle Licenses,6399-00 · Vehicle Expense - Other,6499-00 · Depreciation Expense,6085-00 · Charitable Contributions,6090-00 · Customer Settlements,6598-00 · Other - Other,6600-00 · Software license fees,6610-00 · Computer Supplies,6615-00 · Computer Maintenance & Repair,6650-00 · Telephone & Communications,6599-00 · Computer & Internet Expenses - Other,6999-00 · Miscellaneous Expense,6201-00 · Salary,Total 6202-00 · Hourly,6203-00 · Overtime hourly,6204-00 · Holiday,6205-00 · Bonus,6205-99 · Bonus Reimbursement Due,6200-00 · Salaries & Wages - Other,6077-00 · Mileage Reimbursement,6075-00 · Travel Expense,6078-00 · Meals & Entertainment,6074-00 · Travel & Entertainment - Other,6082-00 · Dues - Deductible,6095-00 · Dues - Non Deductible,6081-00 · Dues & Subscriptions - Other,6227-00 · FFCRA Taxes,6221-00 · Unemployment Taxes,6226-00 · FICA Match,6220-00 · Payroll Taxes - Other,6235-00 · Retirement Benefits,6225-00 · Group Health & Life Insurance,6230-00 · Worker's Compensation,6239-00 · Insurance Expense - Employee - Other,6240-00 · Medical Expenses,6245-00 · Employee Procurement,6246-00 · Drug Screening,6250-00 · Employee Moving Expense,6255-00 · Seminars & Education,6260-00 · Employee Training,6265-00 · Uniforms,6270-00 · Awards & Gifts,6275-00 · Banquet,6280-00 · Special Events,6285-00 · Leased Employees,6370-00 · Moving Expense - Administrative,7011-00 · Other Employee Expense - Other,7010-00 · Payroll Expenses - Other,6050-00 · Franchise Tax,6052-00 · Personal Property,6054-00 · Real Estate,6056-00 · Sales & Use Tax,6058-00 · Waste Tire tax,6060-00 · Miscellaneous Tax,6080-00 · Business Licenses & Permits,6086-00 · Fines & Penalties,6088-01 · Royalty Fees Sherwood,6088-02 · Royalty Fees Mabelvale,6088-03 · Royalty Fees Conway,6088-04 · Royalty Fees Fayetteville,6088-05 · Royalty Fees Rogers,6088-06 · Royalty Fees Dallas,6088-07 · Royalty Fees Ft Smith,6088-91 · Royalty Fees Admin,6088-00 · Royalty Fees - Other,"7013-00 · Tax, License & Permit Expense - Other",6030-00 · Operational Overhead,7001-00 · Proceeds from Sale of Assets,7001-06 · Sale of Dallas,7002-00 · Other Income,7003-00 · Interest Income,7004-00 · Purchase Discount,7006-00 · Insurance Proceeds Received,7001-01 · Loss on Disposal of assets,8000-00 · Interest Expense,9000-00 · Overhead Allocation,9999-00 · Ask My Accountant,Customers,Deliveries,Pickups,Payoffs,Skips,$Ideal/Cust,$Ideal/Agre,Beg Ideal,End Ideal
8/31/2022,2401,0,97913.33,16036.8,0,20434.87,9665.43,0,6789.08,6517.3,2253,0,3450.37,0,3401.66,-111,0,0,25592.82,14756,9052.08,0,3320.38,130.78,0,0,6434.36,-84.85,0,2366.46,0,0,0,0,3863,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.13,0,0,0,-230.82,0,0,0,0,0,0,0,2813.21,25,0,0,0,0,4993.86,0,0,525.2,0,0,561.95,62.8,306,2960.19,0,7000,2979.09,0,21.16,0,3334.06,0,0,0,63.45,0,740.54,0,204.11,706.1,0,249.31,0,0,0,0,0,0,577.81,0,0,950.11,0,0,6155,15234.44,1638.99,0,4861.5,0,0,0,0,68.35,0,16.67,0,0,0,4.22,2039.88,0,496.21,2528.69,147.66,0,0,299.08,0,0,0,18,176.95,0,0,0,0,0,0,0,0,689.34,351.92,137.87,1077.3,0,0,0,0,0,0,0,0,0,0,0,4890.34,0,9716.59,0,0,0,0,297.53,0,0,0,0,0,620,140,11,76,16,181.58,137.29,102824,112580
8/31/2022,2402,0,93289.21,6795.01,0,15090.5,10151.55,0,7287.92,5855.15,1436.3,0,3833,0,4103.63,0,0,0,23621.44,9297.75,3348.12,0,5457.25,118.04,0,0,10387.14,22.85,0,2576.08,0,0,0,0,3863,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.13,0,0,0,20.71,0,0,0,0,0,0,0,2682.56,0,0,0,0,0,4435.27,0,0,525.2,0,0,1079.94,140.8,443.25,1969.71,0,6000,2068.13,0,36.93,0,0,0,0,0,63.45,0,1830.33,0,0,277.75,0,249.31,0,0,0,0,0,0,577.8,0,69.99,1415.9,0,0,5490,12556.39,1175.14,0,3499.27,0,0,0,527.13,0,0,16.67,0,0,0,56.28,1712.79,0,356.5,1213.79,125.99,0,0,299.08,0,0,0,18,239.66,0,0,0,0,0,0,0,0,750.33,205.33,134.98,837.9,0,0,0,0,0,0,0,0,0,0,0,4320.28,0,9716.59,0,0,0,0,242.56,0,0,0,0,0,536,105,52,61,25,195.48,139.89,96631,104777
8/31/2022,2403,0,99976.89,4381.95,0,10883.12,12554.92,0,8437.89,7176.12,645.27,0,2243.86,0,3110.54,0,0,0,23588.06,10765.47,2011.52,0,2228.78,855.29,0,0,3831.44,-174.89,0,2830.65,0,178.01,0,0,3963,0,0,226.14,0,0,0,0,0,0,0,0,0,0,2884.11,0,0,0,-29.37,0,0,0,0,0,0,0,2829.04,0,0,0,0,0,4482.32,0,0,525.2,0,0,874.21,105.8,247.5,4567.68,0,7000,1503.14,0,37.1,0,775,0,0,0,0,0,1287.62,0,29.95,759.73,0,249.31,0,0,0,0,0,0,577.81,0,0,327.15,0,0,7101.66,15478.32,1792.46,0,8751.91,0,0,0,35,28.41,0,16.67,0,0,0,77.47,2432.58,0,556.68,2946.75,175.66,0,0,299.08,0,0,0,18,244,0,0,0,0,0,0,0,0,502.42,261.42,40,1045.95,0,0,0,0,0,0,0,0,0,0,0,4415,0,9716.59,0,0,0,0,286.13,0,0,0,0,0,688,143,40,52,3,177.28,136.89,103642,121971
8/31/2022,2404,0,87646.73,11055.9,0,19110.47,9997.32,0,7449.23,6797.03,690.4,0,3620.15,0,2641.48,-147,0,0,24205.39,12132.68,5029.64,0,5844.88,0,0,0,10608.56,-253.76,0,2281.96,0,0,0,0,5332.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.11,0,0,0,-4.11,0,0,0,0,0,0,0,2546.37,0,0,0,0,0,4470.26,0,0,525.2,0,0,712.27,140.09,316.25,1493.95,0,7000,1199.77,0,17.56,0,379.21,0,0,428.59,60.04,0,1554.59,0,0,381.68,0,249.31,0,0,0,0,0,0,577.8,0,0,882.01,0,0,6345,11594.27,534.94,0,5470.66,0,0,0,85,0,0,16.67,0,0,0,56.04,1815.67,0,540.42,204.3,123.26,0,0,299.08,176,0,0,18,237.83,0,0,0,0,0,0,0,0,628.39,353.83,3.31,569.7,0,0,0,0,0,0,0,0,0,0,0,4361.66,0,9716.59,0,0,295.05,0,317.78,0,0,0,0,0,605,107,47,63,16,172.29,136.97,98118,104237
8/31/2022,2405,0,107166.22,10012.93,0,16430.11,11159.7,25,7879.41,7617.63,668.44,0,3855.47,0,3398.59,0,0,0,26887.64,17218.47,4646.83,0,6111.37,70.59,0,0,7753.03,19.23,0,2637.08,0,232.05,0,0,5333.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.13,0,0,0,369.85,0,0,0,0,0,0,0,2964.94,0,0,0,0,0,5046.41,0,0,2452.2,0,0,347.67,232.7,386.02,2834.96,0,7000,2133.81,0,17.52,0,741.95,0,0,0,60.04,0,1819.76,0,0,919.5,0,249.31,0,0,0,0,0,0,577.81,0,0,813.67,0,0,6915,19120.37,1958.25,111.44,7038.5,0,0,0,185,0,0,16.67,0,0,0,101.04,2645.94,0,532.82,1943.88,187.97,0,0,49.08,0,0,0,18,128.72,0,0,0,0,0,0,0,0,709,828.48,81.59,1255.95,0,0,0,0,0,0,0,0,0,0,0,4930.74,0,9716.59,0,0,0,0,347.15,0,0,0,0,0,681,149,50,72,12,195.72,145.21,115789,133304
8/31/2022,2406,0,106828.28,3129,0,18089.1,12004.2,0,7653.5,7341.25,671.1,0,2165,0,3778.81,0,0,0,27588.02,13806.91,1339.36,0,8847.32,275.2,0,0,8003.26,-231.01,0,2848.79,0,0,0,0,3863,0,0,236.13,0,0,0,0,0,0,0,0,0,0,2884.13,0,0,0,243.57,0,0,0,0,0,0,0,3029.29,0,0,0,0,0,4849.81,0,0,525.2,0,0,466.18,151.34,420.75,2833.09,0,9000,2306.36,0,21.26,0,0,0,0,614.25,0,0,1539.88,663.88,0,260.08,0,249.31,0,0,0,0,0,0,577.81,0,0,464.17,0,0,6155,16340.21,3002.5,0,5138.08,0,0,0,0,15,0,16.67,0,0,0,67.47,2305.38,0,344.34,2051.55,313.9,0,0,49.08,0,0,0,18,273.8,0,0,0,0,0,0,0,0,890.39,797.12,-30.39,1155.9,0,0,0,0,0,0,0,0,0,0,0,4784.86,0,9716.59,0,0,0,0,282.07,0,0,0,0,0,712,109,40,79,38,171.28,130.82,109861,121948
8/31/2022,2407,0,206713.77,3275.66,0,47314.09,21092.62,0,12228.98,13178.12,1172.89,0,2386.42,0,5248.58,-500,0,0,54493.82,27600.86,1317.53,0,902.48,3174.67,0,0,11275.06,-115.49,0,4758.64,0,0,0,0,5596.5,0,0,130.2,0,0,0,0,0,0,0,0,0,0,2884.13,0,0,0,-113.78,0,0,0,0,0,0,0,5262.34,1.6,0,0,0,0,9378.33,0,0,525.2,0,0,134.01,295.5,370.61,8890.84,0,11100,1719.71,0,74.46,87.6,269.28,0,0,939.27,60.04,0,1256.35,0,281.52,961.9,0,249.31,0,0,0,0,126.77,0,577.81,0,0,384.07,0,0,10905,25493.52,5522.05,0,13379.04,0,0,0,225,0,0,16.67,0,0,0,30.56,4131.2,0,1294.33,4188.08,303.05,0,0,49.08,0,0,0,791.96,149.22,0,0,0,0,0,0,0,0,918.33,714.02,225.17,2032.05,0,0,0,0,0,0,0,0,0,0,0,9306.74,0,9716.59,0,0,719.9,0,541.76,0,0,0,0,0,1183,246,47,110,12,184.98,142.84,190045,218831
8/31/2022,2408,0,158140.62,2398.55,0,27353.1,18431.32,0,9928.1,10827.16,1113.89,0,3013.49,0,5133.29,-73.33,0,0,43364.61,23764.52,975.67,0,8706.76,3173.44,0,0,10761.43,106.23,0,4261.92,0,780,0,0,4684,0,0,260.4,0,0,0,0,0,0,0,0,0,0,2884.12,0,0,0,41.33,0,0,0,0,0,0,0,4664.24,0,0,0,0,0,7090.19,0,0,525.2,0,0,514.25,335.9,0,3926.69,0,9475,1473.72,0,21.17,0,426.41,0,0,1652.02,63.39,0,1511.33,0,0,926.78,0,249.31,0,0,0,0,0,0,577.81,819.18,0,447.17,0,0,10616.66,24782.07,2590.34,0,10250.64,0,0,0,110,424.1,0,16.67,0,0,0,107.59,3588.67,0,130.62,2952.01,256.55,0,0,49.08,0,0,0,18,157.79,0,0,0,0,0,0,0,0,694.3,693.28,127,1852.5,0,0,0,0,0,0,0,0,0,0,0,6999.78,0,9716.59,0,0,0,0,428.07,0,0,0,0,0,1121,227,68,116,14,176.59,134.58,177230,197962
8/31/2022,2409,0,83158.66,6147.87,0,14003.44,9416.34,0,5168.78,6226.97,1188.68,0,952.72,0,2132.97,0,0,0,20637.71,11743.2,2760.08,-1499.49,1643.02,1016.2,0,0,2981.14,-286.95,0,2090.07,0,0,0,0,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,2884.12,0,0,0,-0.13,0,0,0,0,0,0,0,2640.22,0,0,0,0,0,3851.89,0,0,525.2,0,0,109.06,96.6,0,2094.89,0,7000,971.09,0,20.92,0,2258.34,0,0,0,63.39,0,1302.98,125,0,556.51,0,249.31,0,0,0,0,0,0,577.8,0,0,304.5,0,0,6436.66,13767.65,1709.97,0,5851.09,0,0,0,95,92.59,0,16.67,0,0,0,67.39,2093.12,0,403.99,1074.12,147.9,0,0,49.08,0,0,0,18,592.16,0,0,0,0,0,0,0,0,429.37,329.15,92,926.25,0,0,0,0,0,0,0,0,0,0,0,3823.31,0,9716.59,0,0,0,0,243.35,0,0,0,0,0,560,133,40,55,10,180.42,143.72,98859,101033
8/31/2022,2410,0,89621.68,4674.6,0,18421.19,10093.16,0,4282.19,6397.39,825.33,0,238,0,3150.75,0,0,0,22876.95,12671.7,2421.25,0,879.17,1578.4,0,0,11297,-183.19,0,2398.75,0,0,0,0,5975,0,0,360.05,0,0,0,0,0,0,0,0,0,0,2884.12,0,0,0,0.21,0,0,0,0,0,0,0,2476.81,0,0,0,0,0,4131.13,0,0,525.2,0,0,719.96,235.5,0,1797.48,0,7000,1595.5,0,19.5,0,5761.56,0,0,0,154.92,0,768.99,125,0,379.71,0,249.31,0,0,0,0,0,0,577.8,0,0,433.95,0,0,5490,14462.31,1111.51,0,4249.37,0,0,0,1319.88,188.84,0,0,0,0,0,22.9,1880.29,0,323.58,2793.74,306.27,0,0,299.08,0,0,0,18,256.19,0,0,0,0,0,0,0,0,20.25,836.98,0,191.5,0,0,0,0,0,0,0,0,0,0,0,4123.99,0,9716.59,0,0,0,0,236.98,0,0,0,0,0,624,149,39,53,11,192.32,144.07,112412,120007
